AID,CID,InChIKey,SMILES,GeneID,Symbol,UniProtKB
1346982,10698,BPRYUXCVCCNUFE-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C)O)C,8856,NR1I2,O75469
1671197,243,WPYMKLBDIGXBTP-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)O,1557,CYP2C19,P33261
686978,992,IZUPBVBPLAPZRR-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,55775,TDP1,Q9NUW8
1671199,11767,LSIKFJXEYJIZNB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2[N+](=O)[O-],1544,CYP1A2,P05177
1671201,77929,TVJPBVNWVPUZBM-UHFFFAOYSA-N,CC(=O)O[Si](C)(OC(=O)C)OC(=O)C,1576,CYP3A4,P08684
1671199,16821,WGPCZPLRVAWXPW-UHFFFAOYSA-N,CCCCCCCCC1CCC(=O)O1,1544,CYP1A2,P05177
1259247,5284469,OEJNXTAZZBRGDN-UHFFFAOYSA-N,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl,367,AR,P10275
1671197,95717,AIGDHFJPKNZUOR-UHFFFAOYSA-N,C1CC2=C(C=C3C=CC4=C5C3=C2C=CC5=CC=C4)C(=O)C1,1557,CYP2C19,P33261
1346795,992,IZUPBVBPLAPZRR-UHFFFAOYSA-N,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,5241,PGR,P06401
743140,3714831,VLDHWMAJBNWALQ-UHFFFAOYSA-M,C1=CC=C2C(=C1)N=C(S2)[S-].[Na+],5468,PPARG,P37231
743202,7910,WVYWICLMDOOCFB-UHFFFAOYSA-N,CC(C)CC(C)O,4780,NFE2L2,Q16236
743085,5889,LHRCREOYAASXPZ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,196,AHR,P35869
720719,9128,TXVHTIQJNYSSKO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,2908,NR3C1,P04150
743140,9128,TXVHTIQJNYSSKO-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,5468,PPARG,P37231
1671199,7020,JNELGWHKGNBSMD-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,1544,CYP1A2,P05177
1671197,3017,FHIVAFMUCKRCQO-UHFFFAOYSA-N,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,1557,CYP2C19,P33261
1224849,9153,FTOVXSOBNPWTSH-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,2101,ESRRA,P11474
1346978,9158,HAXBIWFMXWRORI-UHFFFAOYSA-N,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,836,CASP3,P42574
588544,13543,CNCOEDDPFOAUMB-UHFFFAOYSA-N,C=CC(=O)NCO,6256,RXRA,P19793
743122,15752,KWMDHCLJYMVBNS-UHFFFAOYSA-N,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-],196,AHR,P35869
1671201,7018,RJGDLRCDCYRQOQ-UHFFFAOYSA-N,C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,1576,CYP3A4,P08684
743042,10800,ZXVONLUNISGICL-UHFFFAOYSA-N,CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],367,AR,P10275
1159528,5284469,OEJNXTAZZBRGDN-UHFFFAOYSA-N,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl,3725,JUN,P05412
1259248,8413,NUIURNJTPRWVAP-UHFFFAOYSA-N,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,2099,ESR1,P03372
1645842,4004,JXSJBGJIGXNWCI-UHFFFAOYSA-N,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,1559,CYP2C9,P11712
240726,7020,JNELGWHKGNBSMD-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,4128,MAOA,P21397
1671198,87244,KXJLGCBCRCSXQF-UHFFFAOYSA-N,CC[Si](OC(=O)C)(OC(=O)C)OC(=O)C,1559,CYP2C9,P11712
1259395,30692,TUBQDCKAWGHZPF-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SCSC#N,7253,TSHR,P16473
1030,6492,HECLRDQVFMWTQS-UHFFFAOYSA-N,C1C=CC2C1C3CC2C=C3,216,ALDH1A1,P00352
588514,1057,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)O)O,2099,ESR1,P03372
1347398,24752,CUVLMZNMSPJDON-UHFFFAOYSA-N,CCCCOCC(C)OCC(C)O,43,ACHE,P22303
501906,996,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C1=CC=C(C=C1)O,762,CA4,P22748
651741,8447,AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,4780,NFE2L2,Q16236
552127,402,RWSOTUBLDIXVET-UHFFFAOYSA-N,[S],759,CA1,P00915
1259383,29393,UNAHYJYOSSSJHH-UHFFFAOYSA-N,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],2099,ESR1,P03372
1671196,7471,GYVGXEWAOAAJEU-UHFFFAOYSA-N,CC1=CC=C(C=C1)N(C)C,1565,CYP2D6,P10635
624330,8413,NUIURNJTPRWVAP-UHFFFAOYSA-N,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,29127,RACGAP1,Q9H0H5
1671201,15910,CRQQGFGUEAVUIL-UHFFFAOYSA-N,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,1576,CYP3A4,P08684
570185,938,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)O,338442,HCAR2,Q8TDS4
1671197,8146,XXJWXESWEXIICW-UHFFFAOYSA-N,CCOCCOCCO,1557,CYP2C19,P33261
625202,7000,VMPITZXILSNTON-UHFFFAOYSA-N,COC1=CC=CC=C1N,151,ADRA2B,P18089
651777,6053,JCYPECIVGRXBMO-UHFFFAOYSA-N,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,196,AHR,P35869
1346982,6591,QPFMBZIOSGYJDE-UHFFFAOYSA-N,C(C(Cl)Cl)(Cl)Cl,8856,NR1I2,O75469
1159519,95717,AIGDHFJPKNZUOR-UHFFFAOYSA-N,C1CC2=C(C=C3C=CC4=C5C3=C2C=CC5=CC=C4)C(=O)C1,22926,ATF6,P18850
