CanonicalSMILES,InChIKey,UniProtKB
CNC1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-UHFFFAOYSA-N,P05181
C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,DEFVIWRASFVYLL-UHFFFAOYSA-N,P05181
[Ca],OYPRJOBELJOOCE-UHFFFAOYSA-N,P05181
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C=C6)O)O,HGVVOUNEGQIPMS-UHFFFAOYSA-N,P05181
CCN(CC)N=O,WBNQDOYYEUMPFS-UHFFFAOYSA-N,P05181
CN1CCC=C(C1)C(=O)OC,HJJPJSXJAXAIPN-UHFFFAOYSA-N,P05181
C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,P05181
CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,FBSKJMQYURKNSU-ZLSOWSIRSA-N,P05181
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,GPKJTRJOBQGKQK-UHFFFAOYSA-N,P05181
C1COCCN1N=O,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,P05181
CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,P05181
OO,MHAJPDPJQMAIIY-UHFFFAOYSA-N,P05181
CN1C2=C(C(=O)N(C1=O)C)NC=N2,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,P05181
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5C=COC5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,P05181
C1=COC=C1,YLQBMQCUIZJEEH-UHFFFAOYSA-N,P05181
[As],RQNWIZPPADIBDY-UHFFFAOYSA-N,P05181
C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,P05181
CSCCC(C(=O)O)N,FFEARJCKVFRZRR-BYPYZUCNSA-N,P05181
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,OVBPIULPVIDEAO-LBPRGKRZSA-N,P05181
[C-]#N,XFXPMWWXUTWYJX-UHFFFAOYSA-N,P05181
C(CCl)Cl,WSLDOOZREJYCGB-UHFFFAOYSA-N,P05181
CC(=C)C#N,GYCMBHHDWRMZGG-UHFFFAOYSA-N,P05181
C1=CC=C2C(=C1)[N+](=C(N=[N+]2[O-])N)[O-],ORYDPOVDJJZGHQ-UHFFFAOYSA-N,P05181
CC(=O)NP(=O)(OC)SC,YASYVMFAVPKPKE-UHFFFAOYSA-N,P05181
C[N+](C)(C)CC(=O)[O-],KWIUHFFTVRNATP-UHFFFAOYSA-N,P05181
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],FDJOLVPMNUYSCM-WZHZPDAFSA-L,P05181
C[N+](C)(C)CC(CC(=O)[O-])O,PHIQHXFUZVPYII-ZCFIWIBFSA-N,P05181
C1=NNC(=N1)N,KLSJWNVTNUYHDU-UHFFFAOYSA-N,P05181
C=CC#N,NLHHRLWOUZZQLW-UHFFFAOYSA-N,P05181
CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,KPSRODZRAIWAKH-UHFFFAOYSA-N,P05181
CCC(=O)OC1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,PDMMFKSKQVNJMI-BLQWBTBKSA-N,P05181
C=COC(=O)N,LVLANIHJQRZTPY-UHFFFAOYSA-N,P05181
C(=CC(=O)O)C=CC(=O)O,TXXHDPDFNKHHGW-ZPUQHVIOSA-N,P05181
CC12CCC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3,DNJVYWXIDISQRD-HWUKTEKMSA-N,P05181
CC12C=CC3=C(C1CCC45C2CCC(C4)C(C5)(CO)O)C=CO3,JEKMKNDURXDJAD-HWUKTEKMSA-N,P05181
C1CC2C(O2)CC1C3CO3,OECTYKWYRCHAKR-UHFFFAOYSA-N,P05181
CC(C(=O)NCC(=O)O)S,YTGJWQPHMWSCST-UHFFFAOYSA-N,P05181
C1=CSC=N1,FZWLAAWBMGSTSO-UHFFFAOYSA-N,P05181
C=CC=C,KAKZBPTYRLMSJV-UHFFFAOYSA-N,P05181
