PubchemCTD,CID,CanonicalSMILES,InChIKey
C006680,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,FXNFHKRTJBSTCS-UHFFFAOYSA-N
C007845,442793,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,NLDDIKRKFXEWBK-AWEZNQCLSA-N
D002392,9064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N
C030419,5318517,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,BOJKULTULYSRAS-OTESTREVSA-N
C105934,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,RZEKVGVHFLEQIL-UHFFFAOYSA-N
C107773,5281727,COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,VLEUZFDZJKSGMX-ONEGZZNKSA-N
C020972,65351,C1CCN(C1)C(=S)S,VSWDORGPIHIGNW-UHFFFAOYSA-N
C045651,65064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N
D007213,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CGIGDMFJXJATDK-UHFFFAOYSA-N
D013467,1548887,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,MLKXDPUZXIRXEP-MFOYZWKCSA-N
D015232,5280360,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,XEYBRNLFEZDVAW-ARSRFYASSA-N
C080955,4553,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2CCCCC2,KTDZCOWXCWUPEO-UHFFFAOYSA-N
C012655,4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,HYWYRSMBCFDLJT-UHFFFAOYSA-N
C007095,108007,[H+].[H+].CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)[O-])C)CCC(=O)[O-].[Co+2],AQTFKGDWFRRIHR-UHFFFAOYSA-L
D012838,5213,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,SEBFKMXJBCUCAI-UHFFFAOYSA-N
D010431,4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,BYPFEZZEUUWMEJ-UHFFFAOYSA-N
D001205,54670067,C(C(C1C(=C(C(=O)O1)O)O)O)O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N
D014810,14985,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,GVJHHUAWPYXKBD-IEOSBIPESA-N
D008550,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,DRLFMBDRBRZALE-UHFFFAOYSA-N
D008063,864,C1CSSC1CCCCC(=O)O,AGBQKNBQESQNJD-UHFFFAOYSA-N
D019328,21157,CCCCS(=N)(=O)CCC(C(=O)O)N,KJQFBVYMGADDTQ-UHFFFAOYSA-N
D005978,124886,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,RWSXRVCMGQZWBV-WDSKDSINSA-N
D012643,6326970,[Se],BUGBHKTXTAQXES-UHFFFAOYSA-N
C041525,667639,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,CDRPUGZCRXZLFL-OWOJBTEDSA-N
D008687,14219,CN(C)C(=N)N=C(N)N.Cl,OETHQSJEHLVLGH-UHFFFAOYSA-N
D003513,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,YPHMISFOHDHNIV-FSZOTQKASA-N
D003609,457193,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,RJURFGZVJUQBHK-IIXSONLDSA-N
